access_id,timestamp,user_id,username,department,data_asset,data_sensitivity,query_type,rowcount,access_method,destination,status,anomaly_marker
ACC-000258,2026-04-01 05:13:00,USR-0009,user.0009,Engineering,Marketing_Assets,low,EXPORT,66702,BI_Tool,cloud_storage,success,OFF_HOURS_BULK_EXPORT
ACC-001093,2026-04-01 09:09:00,USR-0063,user.0063,IT,Customer_DB,low,API,31960,BI_Tool,external_email,success,FLIGHT_RISK_EXFILTRATION
ACC-000303,2026-04-01 09:24:00,USR-0093,user.0093,HR,Payroll,low,EXPORT,583,BI_Tool,local_workstation,success,
ACC-001405,2026-04-01 09:24:00,USR-0059,user.0059,Finance,Source_Code,medium,EXPORT,625,BI_Tool,local_workstation,success,
ACC-000346,2026-04-01 09:40:00,USR-0025,user.0025,IT,Source_Code,medium,SELECT,194,SQL,local_workstation,success,
ACC-000356,2026-04-01 09:42:00,USR-0031,user.0031,Engineering,Payroll,low,SELECT,395,SQL,local_workstation,success,
ACC-001449,2026-04-01 10:12:00,USR-0042,user.0042,Finance,Marketing_Assets,low,EXPORT,1008,API,cloud_storage,success,
ACC-000657,2026-04-01 10:24:00,USR-0082,user.0082,Marketing,Payroll,low,EXPORT,87,API,local_workstation,success,
ACC-000607,2026-04-01 10:38:00,USR-0033,user.0033,Engineering,Payroll,low,EXPORT,390,SQL,local_workstation,success,
ACC-000785,2026-04-01 10:40:00,USR-0043,user.0043,Marketing,Payroll,low,API,6696,API,local_workstation,success,
ACC-000563,2026-04-01 10:43:00,USR-0099,user.0099,IT,GL_Ledger,low,SELECT,95,SQL,local_workstation,success,
ACC-000709,2026-04-01 10:47:00,USR-0018,user.0018,IT,Customer_DB,low,EXPORT,332,API,local_workstation,success,
ACC-001176,2026-04-01 11:14:00,USR-0006,user.0006,IT,Payroll,medium,EXPORT,235,SQL,local_workstation,success,
ACC-000933,2026-04-01 11:16:00,USR-0087,user.0087,Engineering,Customer_DB,low,API,44,API,cloud_storage,success,
ACC-001340,2026-04-01 11:39:00,USR-0060,user.0060,IT,Payroll,low,SELECT,279,BI_Tool,internal_share,success,
ACC-000484,2026-04-01 12:05:00,USR-0094,user.0094,HR,Source_Code,low,EXPORT,511,BI_Tool,local_workstation,success,
ACC-000310,2026-04-01 12:10:00,USR-0013,user.0013,Marketing,GL_Ledger,low,EXPORT,246,BI_Tool,cloud_storage,success,
ACC-000769,2026-04-01 12:10:00,USR-0012,user.0012,Engineering,PII_Database,low,SELECT,665,SQL,local_workstation,success,
ACC-000976,2026-04-01 12:19:00,USR-0088,user.0088,IT,Payroll,restricted,SELECT,312,API,external_email,success,INTERN_RESTRICTED_ACCESS
ACC-000327,2026-04-01 12:23:00,USR-0088,user.0088,IT,Payroll,medium,API,40,API,local_workstation,success,
ACC-000248,2026-04-01 12:30:00,USR-0013,user.0013,Marketing,Payroll,low,SELECT,125,SQL,local_workstation,success,
ACC-001484,2026-04-01 12:42:00,USR-0038,user.0038,HR,Payroll,medium,SELECT,28,BI_Tool,internal_share,success,
ACC-000562,2026-04-01 12:44:00,USR-0028,user.0028,Engineering,Marketing_Assets,low,API,3443,BI_Tool,internal_share,success,
ACC-000729,2026-04-01 12:51:00,USR-0025,user.0025,IT,Payroll,low,EXPORT,209,API,local_workstation,success,
ACC-000920,2026-04-01 12:54:00,USR-0097,user.0097,IT,GL_Ledger,low,API,159,SQL,local_workstation,success,
ACC-000993,2026-04-01 12:58:00,USR-0052,user.0052,Marketing,Marketing_Assets,low,API,422,BI_Tool,local_workstation,success,
ACC-000551,2026-04-01 13:00:00,USR-0026,user.0026,Marketing,GL_Ledger,low,API,197,BI_Tool,internal_share,success,
ACC-000448,2026-04-01 13:11:00,USR-0074,user.0074,Sales,Source_Code,low,EXPORT,675,SQL,local_workstation,success,
ACC-000612,2026-04-01 13:59:00,USR-0056,user.0056,IT,Marketing_Assets,low,API,273,SQL,local_workstation,success,
ACC-000947,2026-04-01 14:01:00,USR-0025,user.0025,IT,PII_Database,medium,EXPORT,179,API,internal_share,success,
ACC-000718,2026-04-01 14:02:00,USR-0022,user.0022,Marketing,Payroll,low,EXPORT,1006,SQL,internal_share,success,
ACC-001286,2026-04-01 14:54:00,USR-0023,user.0023,Marketing,Customer_DB,low,API,808,API,internal_share,success,
ACC-001470,2026-04-01 14:54:00,USR-0040,user.0040,Finance,Payroll,low,SELECT,226,API,local_workstation,success,
ACC-000535,2026-04-01 14:56:00,USR-0094,user.0094,HR,PII_Database,low,API,1157,API,cloud_storage,success,
ACC-000192,2026-04-01 15:00:00,USR-0003,user.0003,Finance,Source_Code,low,SELECT,38,API,internal_share,success,
ACC-001193,2026-04-01 16:03:00,USR-0095,user.0095,Marketing,PII_Database,low,EXPORT,188,API,local_workstation,success,
ACC-000231,2026-04-01 16:08:00,USR-0046,user.0046,Engineering,PII_Database,low,EXPORT,554,BI_Tool,local_workstation,success,
ACC-000603,2026-04-01 16:29:00,USR-0100,user.0100,HR,Payroll,low,EXPORT,63,BI_Tool,local_workstation,success,
ACC-001420,2026-04-01 16:30:00,USR-0042,user.0042,Finance,Marketing_Assets,medium,EXPORT,1265,BI_Tool,local_workstation,success,
ACC-001460,2026-04-01 16:35:00,USR-0022,user.0022,Marketing,PII_Database,low,SELECT,1204,SQL,internal_share,success,
ACC-001322,2026-04-01 16:41:00,USR-0059,user.0059,Finance,Source_Code,low,EXPORT,700,BI_Tool,local_workstation,success,
ACC-000655,2026-04-01 16:42:00,USR-0012,user.0012,Engineering,PII_Database,medium,API,602,SQL,internal_share,success,
ACC-000974,2026-04-01 16:51:00,USR-0024,user.0024,IT,PII_Database,low,SELECT,642,SQL,local_workstation,success,
ACC-001454,2026-04-01 16:53:00,USR-0032,user.0032,Sales,Customer_DB,medium,EXPORT,732,SQL,local_workstation,success,
ACC-000312,2026-04-02 00:28:00,USR-0058,user.0058,Marketing,PII_Database,restricted,EXPORT,72467,API,personal_usb,success,NIGHT_BULK_EXPORT_CRITICAL
ACC-000998,2026-04-02 01:00:00,USR-0063,user.0063,IT,Source_Code,restricted,SELECT,155399,SQL,personal_usb,success,NIGHT_BULK_EXPORT_CRITICAL
ACC-000084,2026-04-02 01:06:00,USR-0020,user.0020,Finance,Customer_DB,restricted,API,60260,BI_Tool,personal_usb,success,NIGHT_BULK_EXPORT_CRITICAL
ACC-000177,2026-04-02 05:40:00,USR-0036,user.0036,Finance,Payroll,low,API,63997,BI_Tool,cloud_storage,success,OFF_HOURS_BULK_EXPORT
ACC-001481,2026-04-02 09:03:00,USR-0095,user.0095,Marketing,Marketing_Assets,low,SELECT,310,API,local_workstation,success,
ACC-000296,2026-04-02 09:09:00,USR-0042,user.0042,Finance,Marketing_Assets,low,EXPORT,1012,SQL,cloud_storage,success,
ACC-001494,2026-04-02 09:09:00,USR-0041,user.0041,IT,Source_Code,medium,EXPORT,162,SQL,cloud_storage,success,
